title,namespace,id,revision_id,revision_parentid,revision_timestamp,is_redirect,redirect_title,categories,templates,text_length,text
アンパサンド,0,5,89167474,,2022-04-23T02:25:36Z,false,,"約物,ラテン語の語句,論理記号","redirect,otheruses,wikipediapage,複数の問題,記号文字,quote,clear,charcode,reflist,commons,punctuation_marks,defaultsort",125,"アンパサンドは、並立助詞「…と…」を意味する記号である。ラテン語で「…と…」を表す接続詞 ""et"" の合字を起源とする。現代のフォントでも、Trebuchet MS など一部のフォントでは、""et"" の合字であることが容易にわかる字形を使用している。"
言語,0,10,91903249,,2022-10-11T00:59:21Z,false,,"言語,言語学,民族","言語学,seealso,main,see_also,脚注ヘルプ,notelist,reflist,wiktionary,commons,spedia,normdaten,defaultsort",475,言語は、狭義には「声による記号の体系」をいう。広辞苑や大辞泉には次のように解説されている。*人間が音声や文字を用いて思想・感情・意志等々を伝達するために用いる記号体系。およびそれを用いる行為。音声や文字によって、人の意志・思想・感情などの情報を表現したり伝達する、あるいは他者のそれを受け入れ、理解するための約束・規則。および、そうした記号の体系。*ある特定の集団が用いる、音や文字による事態の伝達手段。*ソシュールの用語「langue ラング」の日本語での訳語。『日本大百科全書』では、「言語」という語は多義である、と解説され、大脳のに蓄えられた《語彙と文法規則の体系》を指すこともあり、その体系を用いる能力としてとらえることもある、と解説され、一方では、抽象的に「すべての人間が共有する言語能力」を指すこともあり、「個々の個別言語」を指すこともある、と解説されている。広義の言語には、verbalなものとnon-verbalなものの両方を含み、日常のコミュニケーションでは狭義の言語表現に身振り、手振り、図示、擬音等も加えて表現されることもある。
日本語,0,11,92210200,,2022-10-31T10:17:53Z,false,,"日本語,日本の言語,日琉語族,膠着語,SOV型言語","language,cite_news,main,精度,see_also,see,複数の問題,quote,独自研究,要出典範囲,出典の明記,脚注ヘルプ,notelist2,reflist,sisterlinks,incubator,div_col,関連項目過剰,div_col_end,日本語,日本関連の項目,normdaten,defaultsort",288,日本語は、日本国内や、かつての日本領だった国、そして日本人同士の間で使用されている言語。日本は法令によって公用語を規定していないが、法令その他の公用文は全て日本語で記述され、各種法令において日本語を用いることが規定され、学校教育においては「国語」の教科として学習を行う等、事実上、日本国内において唯一の公用語となっている。使用人口について正確な統計はないが、日本国内の人口、及び日本国外に住む日本人や日系人、日本がかつて統治した地域の一部住民など、約1億3千万人以上と考えられている。統計によって前後する場合もあるが、この数は世界の母語話者数で上位10位以内に入る人数である。
地理学,0,12,91578222,,2022-09-22T02:27:23Z,false,,"地理学,社会科学,人文科学,自然科学,地球科学の分野","otheruses,出典の明記,ウィキポータルリンク,読み仮名_ruby不使用,main,-,節スタブ,脚注ヘルプ,reflist,参照方法,sisterlinks,地理学,人文地理学,自然,社会科学のフッター,人文科学,地球科学,normdaten,デフォルトソート",139,は、。地域や空間、場所、自然環境という物理的存在を対象の中に含むことから、人文科学、社会科学、自然科学のいずれの性格も有する。広範な領域を網羅する。また「地理学と哲学は諸科学の母」と称される。元来は農耕や戦争、統治のため、各地の情報を調査しまとめるための研究領域として成立した。
EU (曖昧さ回避),0,14,87784966,,2022-01-30T07:06:05Z,false,,,aimai,2,EU
国の一覧,0,23,91415225,,2022-09-11T11:41:42Z,false,,"国の一覧,国名,各国の地理","特殊文字,toc_limit,see_also,quotation,otoc,脚注ヘルプ,reflist,div_col,div_col_end,国の指標,地球,defaultsort",16,国の一覧は、世界の独立国の一覧。
SandBox,0,26,91128863,,2022-08-24T05:18:31Z,true,サンドボックス,,,0,
パリ,0,31,92202240,,2022-10-30T22:44:44Z,false,,"パリ,フランスの都市,ヨーロッパの首都,フランスの地域圏首府,世界歴史都市連盟","otheruses,communefra,世界の市,clear,main,weather_box,see_also,double_image,demography,wide_image,col-begin,col-2,col-end,columns-list,double_image_aside,脚注ヘルプ,notelist2,reflist,関連項目過剰,ウィキポータルリンク,commons&cat,wiktionary,francedep,パリとその周辺,パリの観光地,夏季オリンピック開催都市,夏季パラリンピック開催都市,フランス関連の主要項目,欧州連合加盟国の首都,ヨーロッパの首都,メガシティ,世界歴史都市連盟加盟都市,normdaten,defaultsort",137,パリは、フランスの首都。イル＝ド＝フランス地域圏の首府。県にしてコミューンでもある。フランス最大の都市であり、同国の政治、経済、文化などの中心地。ロンドンと共に欧州を代表する世界都市。ルーヴル美術館を含む1区を中心として時計回りに20の行政区が並び、エスカルゴと形容される。
ヨーロッパ,0,32,92204371,,2022-10-31T02:02:56Z,false,,ヨーロッパ,"otheruses,continent,legend,clear,main,ヨーロッパ地図,legend0,脚注ヘルプ,notelist,reflist,ウィキポータルリンク,sisterlinks,colbegin,colend,大州横,世界の地理,ヨーロッパ,normdaten,defaultsort",53,ヨーロッパは地球上の7つの大州の一つ。漢字表記は欧羅巴であり欧州とも呼ぶ。省略する場合は欧の一字を用いる。
生物,0,42,90542899,,2022-07-18T04:42:15Z,false,,"生物,地球史","otheruses,wt,main,gallery,詳細記事,脚注ヘルプ,notelist,reflist,ウィキポータルリンク,ウィキプロジェクトリンク,commonscat,自然,normdaten,defaultsort",98,生物は、無生物と区別される属性、つまり「生命」を備えているもの。そしてその「生命」は生物の本質的属性として生命観によって抽象されるものであり、その定義はなかなか難しいものとなっている。生き物とも。
コケ植物,0,43,90630588,,2022-07-24T00:24:26Z,false,,"植物学,陸上植物,コケ植物","生物分類表,reflist,commonscat,植物学,normdaten,defaultsort",224,コケ植物とは、陸上植物かつ非維管束植物であるような植物の総称、もしくはそこに含まれる植物のこと。コケ類や蘚苔類、蘚苔植物などともいう。世界中でおよそ2万種ほどが記録されている。多くは緑色であるが、赤色や褐色の種もある。大きな群として、蘚類・苔類・ツノゴケ類の3つを含む。それをまとめて一つの分類群との扱いを受けてきたが、現在では認められていない。なお、日常用語にて「コケ」は、そのほかに地衣類なども含む。その他文化的側面については苔を参照されたい。
HomePage,0,46,2168894,,2005-03-22T13:49:43Z,true,ホームページ,,,0,
社会学,0,47,92157081,,2022-10-28T04:18:58Z,false,,"社会学,オーギュスト・コント,実証主義","混同,main,出典の明記,div_col,div_col_end,参照方法,脚注ヘルプ,reflist,wikibooks,wikiversity,社会学,社会科学のフッター,科学技術研究,normdaten,defaultsort",192,社会学は、社会現象の実態や、現象の起こる原因に関するメカニズムを体験・統計・データなどを用いて分析することで解明する学問である。その研究対象は、行為、行動、相互作用といった微視的レベルのものから、家族、コミュニティなどの集団、組織、さらには、社会構造やその変動など巨視的レベルに及ぶものまでさまざまである。思想史的に言えば、「同時代を把握する認識・概念」を作り出そうとする学問である。
古代エジプト,0,48,91049646,,2022-08-19T03:48:37Z,false,,古代エジプト,"古代エジプトの王朝,出典の明記,main,脚注ヘルプ,notelist,reflist,multicol,columns-list,multicol-end,古代文明,古代エジプト,normdaten,defaultsort",885,古代エジプトは、古代のエジプトに対する呼称。具体的に、どの時期を指すかについては様々な説が存在するが、この項においては紀元前3000年頃に始まった第1王朝から紀元前30年にプトレマイオス朝が共和政ローマによって滅ぼされるまでの時代を扱う。エジプトは不毛の砂漠地帯であるが、毎年夏のナイル川の増水で水に覆われる地域には河土が運ばれて堆積し、農耕や灌漑が可能になる。この氾濫原だけが居住に適しており、主な活動はナイル河畔で行われた。ナイル川の恩恵を受ける地域はケメトと呼ばれ、ケメトはエジプトそのものを指す言葉として周囲に広がるデシェレトと対比される概念だった。このケメトの範囲の幅は非常に狭く、ナイル川の本流・支流から数kmの範囲にとどまっていた。しかしながら川の周囲にのみ人が集住しているということは交通においては非常に便利であり、川船を使って国内のどの地域にも素早い移動が可能であった。この利便性は、ナイル河畔に住む人々の交流を盛んにし、統一国家を建国し維持する基盤となった。ナイル川本流からナイル川の上流は谷合でありナイル川1本だけが流れ、下流はデルタ地帯が広がっている。最初に上流地域と下流地域でそれぞれ違った文化が発展した後に統一されたため、ファラオの称号の中に「上下エジプト王」という部分が残り、古代エジプト人も自国のことを「二つの国」と呼んでいた。毎年のナイル川の氾濫を正確に予測する必要から天文観測が行われ、太陽暦が作られた。太陽とシリウス星が同時に昇る頃、ナイル川は氾濫したという。また、氾濫が収まった後に農地を元通り配分するため、測量術、幾何学、天文学が発達した。ヒエログリフから派生したワディ・エル・ホル文字と原シナイ文字は世界の殆どのアルファベットの起源となったとされる。エジプト文明と並ぶ最初期における農耕文明の一つであるメソポタミア文明が、民族移動の交差点にあたり終始異民族の侵入を被り支配民族が代わったのと比べ、地理的に孤立した位置にあったエジプトは比較的安定しており、部族社会が城壁を廻らせて成立する都市国家の痕跡は今の所発見されていない。
エジプト,0,49,92207704,,2022-10-31T07:10:22Z,false,,"エジプト,共和国,軍事政権,フランコフォニー加盟国,国際連合加盟国,アフリカ連合加盟国,イスラム協力機構加盟国","pp,otheruses,基礎情報_国,main,節スタブ,also,col-begin,col-break,col-end,see_also,要出典,bar_box,bar_percent,脚注ヘルプ,notelist,reflist,ウィキポータルリンク,wiktionary,commons&cat,wikivoyage,osm_box,アフリカ,アジア,oic,oif,natoに加盟していない米国の同盟国,normdaten,coord,defaultsort",132,エジプト・アラブ共和国、通称：エジプトは、中東および北アフリカに位置する共和制国家。首都はカイロ。アフリカ大陸では北東端に位置し、西にリビア、南にスーダン、北東のシナイ半島ではイスラエル、パレスチナ国・ガザ地区と国境を接する。北部は地中海、東部は紅海に面している。
著作権の保護期間,0,53,90789493,,2022-08-02T10:53:03Z,false,,"著作権の保護期間,著作権法,独占","more_footnotes,see_also,main,main2,seealso,law,脚注ヘルプ,wikinews,著作権_(法学),normdaten,defaultsort",416,著作権の保護期間とは、著作権の発生から消滅までの期間をいう。この期間において著作権は保護され、著作権者は権利の対象である著作物を、原則として独占排他的に利用することができる。著作権の発生要件と消滅時期は各国の国内法令に委ねられているが、世界160ヶ国以上が締結する文学的及び美術的著作物の保護に関するベルヌ条約が、権利の発生要件として「無方式主義」、著作権の保護期間として「著作者の生存期間及び著作者の死後50年」を原則としていることから、著作権は著作物の創作と同時に発生し、著作者の死後50年まで存続するものと規定する国が多数を占める。なお、実演やレコード、放送などの著作隣接権に係る保護期間は、著作権に係るそれと比較して各国の国内法や条約における取扱に差異があり法的根拠を異にする。国際条約としては、実演家、レコード製作者及び放送機関の保護に関する国際条約と許諾を得ないレコード複製からのレコード製作者の保護に関する条約がある。
台東区,0,55,92205908,,2022-10-31T04:21:18Z,false,,"台東区,東京都の特別区,健康都市連合","東京都の特別区,see_also,hidden_begin,hidden_end,人口統計,main,div_col,div_col_end,columns-list,vertical_images_list,脚注ヘルプ,reflist,multimedia,sisterlinks,osm_box,台東区の町名,東京都の自治体,normdaten,デフォルトソート",38,台東区は、東京都の区部北東部に位置する特別区。面積は23区の中で最も小さい。
地理,0,56,92010892,,2022-10-18T05:14:49Z,false,,地理,"aimai,ウィキポータルリンク,main,脚注ヘルプ,reflist,geo-term-stub,defaultsort",149,地理* 地球上の山・川・海・陸・気候・生物・人口・集落・産業・交通・政治などの状態。* 土地の状態・様子や事情。* 地理学のこと。→地理学* 日本の学校で教えられている科目としての地理。→地理 、地理歴史* 雑誌の名称　→ 地理 「地理」という表現は古くからあり、有名なところでは漢書の『』がある。
